Obs,date,hospital_7day_avg,hospital_n,icu_7day_avg,icu_n,dead_7day_avg,dead_n,infected_eldercare_7day_avg,infected_eldercare_n,Smittade 70+ hemtjänst - rullande medelvärde,Smittade 70+ hemtjänst - antal
1,2020-02-21,0,0,0,0,0,0,0,0,0,
2,2020-02-22,,,,0,,0,,0,,
3,2020-02-23,1.143,0,0,0,0,0,0,0,,
4,2020-02-24,1.429,0,0,0,0,0,0,0,,
5,2020-02-25,2.286,0,0,0,0,0,0,0,,
6,2020-02-26,2,4,0,0,0,0,0,0,,
7,2020-02-27,2.286,4,0,0,0,0,0,0,,
8,2020-02-28,2.571,6,0,0,0,0,0,0,,
9,2020-02-29,5.143,0,0,0,0.286,0,0,0,,
10,2020-03-01,5.571,,0,0,0.286,0,0,0,,
11,2020-03-02,6.286,,0,0,0.286,0,0,0,,
12,2020-03-03,6.571,18,0.2857,0,0.286,,0,0,,
13,2020-03-04,7.714,7,0.5714,0,0.571,0,0,0,,
14,2020-03-05,8.857,9,0.5714,0,0.571,0,0,0,,
15,2020-03-06,10.429,8,0.5714,,0.571,0,0,0,,
16,2020-03-07,10,8,0.8571,,0.286,,0,0,,
17,2020-03-08,11,10,1.1429,0,0.286,0,0.286,0,,
18,2020-03-09,13.571,13,1.1429,0,0.286,0,0.286,0,,
19,2020-03-10,16.571,15,1.1429,,0.571,0,0.571,0,,
20,2020-03-11,19.571,14,1.7143,,0.571,0,0.857,,,
21,2020-03-12,23.857,27,2.5714,0,0.857,0,1.429,0,,
22,2020-03-13,29.571,29,3.4286,,1.143,,3.143,,5,6
23,2020-03-14,35.714,29,3.4286,6,1.429,,5,,6.286,4
24,2020-03-15,46.714,40,5.2857,6,2.286,,7.857,4,8.857,8
25,2020-03-16,57.571,53,7.1429,6,3.429,,9.571,12,10.714,11
26,2020-03-17,69.429,58,9.7143,,4.429,,12.571,13,12,11
27,2020-03-18,80.143,91,11.5714,15,5.429,6,13,22,12.714,20
28,2020-03-19,89,103,15.1429,13,7.143,8,14,12,13.286,15
29,2020-03-20,105.714,112,20.2857,20,8.714,9,17,23,15.429,15
30,2020-03-21,123.857,104,25.4286,19,11.571,9,21.571,5,19.571,9
31,2020-03-22,136.714,102,29.4286,31,14,14,25.571,11,20.857,12
32,2020-03-23,152.857,170,33.5714,42,17.286,13,31,33,24.429,26
33,2020-03-24,171.714,185,36.1429,38,21,22,34.714,45,29.857,40
34,2020-03-25,188.714,181,37.8571,43,25.143,23,37.857,50,33.286,29
35,2020-03-26,205.286,216,40.5714,42,29.429,31,41.429,50,37.286,40
36,2020-03-27,221.286,244,39.7143,38,34.286,35,47.571,49,40.571,53
37,2020-03-28,239.857,223,40.1429,31,38.714,38,53.143,27,42.286,33
